track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
Big River,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,2.7868833333333334,0.57,0.593,-14.75,0.0812,0.767
Committed to Parkview,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.33445,0.66,0.16,-20.047,0.6409999999999999,0.215
Desperados Waiting for a Train,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,4.610216666666667,0.607,0.2,-18.367,0.667,0.148
Deportee (Plane Wreck at Los Gatos),The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.7657833333333333,0.472,0.181,-19.187,0.725,0.358
Welfare Line,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,2.5753333333333335,0.7090000000000001,0.39,-17.449,0.273,0.6729999999999999
Against the Wind,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.8026666666666666,0.72,0.424,-17.83,0.51,0.5820000000000001
The Twentieth Century Is Almost Over,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.5873333333333335,0.7659999999999999,0.349,-17.479,0.5770000000000001,0.875
Johnny B. Goode - Live,Johnny Winter,1973,Pre-streaming,3.3901166666666667,0.415,0.777,-10.63,0.023,0.924
Good Morning Little School Girl - Live,Johnny Winter,1973,Pre-streaming,4.616133333333333,0.294,0.941,-10.615,0.188,0.639
I'll Drown in My Tears,Johnny Winter,1973,Pre-streaming,4.756,0.424,0.2269999999999999,-12.125,0.8270000000000001,0.39
When You Got A Good Friend,Johnny Winter,1973,Pre-streaming,3.6408833333333335,0.504,0.371,-12.6,0.831,0.787
Be Careful with a Fool,Johnny Winter,1973,Pre-streaming,5.2522166666666665,0.293,0.583,-11.519,0.494,0.73
Miss Ann,Johnny Winter,1973,Pre-streaming,3.6563666666666665,0.636,0.417,-12.34,0.165,0.665
Hustled Down in Texas,Johnny Winter,1973,Pre-streaming,3.51,0.515,0.6779999999999999,-11.893,0.00835,0.86
"Rock and Roll, Hoochie Koo",Johnny Winter,1973,Pre-streaming,3.51705,0.561,0.657,-11.87,0.2239999999999999,0.901
Rock Me Baby,Johnny Winter,1973,Pre-streaming,3.8189166666666665,0.284,0.706,-10.447,0.45,0.696
Rock & Roll,Johnny Winter,1973,Pre-streaming,4.745383333333334,0.3939999999999999,0.706,-12.147,0.07,0.563
Sitting In The Jailhouse,Johnny Winter,1973,Pre-streaming,3.313483333333333,0.418,0.861,-8.35,0.00483,0.625
Bony Moronie - Live,Johnny Winter,1973,Pre-streaming,6.791066666666667,0.263,0.968,-9.421,0.0852,0.4579999999999999
It's All Over Now,Johnny Winter,1973,Pre-streaming,6.2755833333333335,0.4629999999999999,0.947,-10.034,0.281,0.472
TV Mama,Johnny Winter,1973,Pre-streaming,3.1556,0.79,0.58,-12.255,0.628,0.777
Drinkin' Blues,Johnny Winter,1973,Pre-streaming,3.67495,0.231,0.878,-10.315,0.7829999999999999,0.581
Walkin' Thru the Park,Johnny Winter,1973,Pre-streaming,4.12045,0.47,0.81,-9.808,0.688,0.826
I'm Not Sure,Johnny Winter,1973,Pre-streaming,5.3189166666666665,0.3,0.63,-12.025,3.91e-05,0.84
Guess I'll Go Away,Johnny Winter,1973,Pre-streaming,3.4319166666666665,0.226,0.802,-10.228,0.119,0.664
Thirty Days - Previously Unreleased,Johnny Winter,1973,Pre-streaming,2.9698333333333333,0.613,0.843,-9.591,0.0613,0.888
Come on in My Kitchen,Johnny Winter,1973,Pre-streaming,5.058883333333333,0.48,0.34,-14.807,0.409,0.629
Can't You Feel It,Johnny Winter,1973,Pre-streaming,3.02,0.563,0.8059999999999999,-9.789,0.0567,0.887
Cheap Tequila,Johnny Winter,1973,Pre-streaming,4.0811166666666665,0.512,0.688,-8.555,0.389,0.588
All Tore Down,Johnny Winter,1973,Pre-streaming,4.511783333333334,0.529,0.7609999999999999,-10.236,0.3389999999999999,0.7090000000000001
Silver Train,Johnny Winter,1973,Pre-streaming,3.576,0.3779999999999999,0.95,-8.259,0.1169999999999999,0.62
Ain't Nothing To Me,Johnny Winter,1973,Pre-streaming,3.0928833333333334,0.653,0.4479999999999999,-10.736,0.424,0.6809999999999999
Still Alive and Well,Johnny Winter,1973,Pre-streaming,3.73045,0.474,0.865,-7.399,0.258,0.669
Too Much Seconal,Johnny Winter,1973,Pre-streaming,4.366666666666666,0.616,0.5429999999999999,-11.565,0.3289999999999999,0.7959999999999999
Let It Bleed,Johnny Winter,1973,Pre-streaming,4.15955,0.5770000000000001,0.823,-9.127,0.106,0.8540000000000001
Lucillie,Johnny Winter,1973,Pre-streaming,2.75555,0.585,0.865,-9.041,0.465,0.919
From A Buick Six,Johnny Winter,1973,Pre-streaming,2.641783333333333,0.366,0.752,-9.584,0.505,0.805
A Matter Of Minutes,Shawn Colvin,2001,Pre-streaming,5.11155,0.59,0.447,-11.577,0.405,0.316
Whole New You,Shawn Colvin,2001,Pre-streaming,4.01,0.629,0.7809999999999999,-7.255,0.0817,0.674
Nothing Like You,Shawn Colvin,2001,Pre-streaming,3.2011166666666666,0.514,0.422,-12.352,0.653,0.433
Anywhere You Go,Shawn Colvin,2001,Pre-streaming,3.546,0.495,0.644,-7.9620000000000015,0.1159999999999999,0.606
Bonefields,Shawn Colvin,2001,Pre-streaming,4.468883333333333,0.653,0.4579999999999999,-11.997,0.825,0.369
Another Plane Went Down,Shawn Colvin,2001,Pre-streaming,5.577333333333334,0.612,0.518,-11.5,0.555,0.313
Bound To You,Shawn Colvin,2001,Pre-streaming,3.5411166666666665,0.573,0.8140000000000001,-7.7360000000000015,0.00495,0.613
Roger Wilco,Shawn Colvin,2001,Pre-streaming,3.917333333333333,0.596,0.462,-9.772,0.305,0.705
Mr. Levon,Shawn Colvin,2001,Pre-streaming,4.13555,0.579,0.344,-12.627,0.722,0.332
One Small Year,Shawn Colvin,2001,Pre-streaming,4.107783333333333,0.659,0.3339999999999999,-11.861,0.6859999999999999,0.387
I'll Say I'm Sorry Now,Shawn Colvin,2001,Pre-streaming,2.3577833333333333,0.495,0.0719,-14.604,0.925,0.3879999999999999
In the Bleak Mid-Winter,Shawn Colvin,1998,Pre-streaming,4.072216666666667,0.407,0.152,-15.829,0.921,0.0635
Christmas Time Is Here,Shawn Colvin,1998,Pre-streaming,2.6171166666666665,0.619,0.107,-15.49,0.875,0.129
Now The Day Is Over,Shawn Colvin,1998,Pre-streaming,1.7888833333333334,0.18,0.104,-14.384,0.95,0.317
Rocking,Shawn Colvin,1998,Pre-streaming,2.546666666666667,0.348,0.0757,-16.611,0.983,0.186
Windy Nights,Shawn Colvin,1998,Pre-streaming,3.16445,0.537,0.368,-11.645,0.695,0.143
All Through The Night,Shawn Colvin,1998,Pre-streaming,2.0566666666666666,0.2769999999999999,0.0889,-18.087,0.98,0.173
Love Came Down at Christmas,Shawn Colvin,1998,Pre-streaming,3.0717833333333333,0.512,0.375,-10.892,0.7440000000000001,0.146
Silent Night,Shawn Colvin,1998,Pre-streaming,3.3633333333333333,0.4629999999999999,0.158,-17.052,0.942,0.135
All The Pretty Li'l Horses,Shawn Colvin,1998,Pre-streaming,1.72045,0.315,0.0377,-16.71,0.976,0.302
Little Road To Bethlehem,Shawn Colvin,1998,Pre-streaming,2.8606666666666665,0.478,0.357,-13.504,0.552,0.547
Seal Lullaby,Shawn Colvin,1998,Pre-streaming,2.0777833333333335,0.384,0.0714,-15.986,0.973,0.272
Evening Is A Little Boy / The Night Will Never Stay,Shawn Colvin,1998,Pre-streaming,3.14445,0.518,0.4270000000000001,-13.576,0.588,0.139
The Christ Child's Lullaby,Shawn Colvin,1998,Pre-streaming,2.316666666666667,0.341,0.0192,-17.864,0.97,0.3329999999999999
